Port,Value,Time Stamp
LCN003,3692.56,1.077533007
LCN003,2797.13,1.102461815
LCN003,2051.0,1.124022722
LCN003,1573.92,1.145615339
LCN003,1294.08,1.167162895
LCN003,1115.79,1.188435793
LCN003,1022.57,1.210363865
LCN003,988.08,1.232597589
LCN003,960.23,1.254484653
LCN003,942.04,1.276096344
LCN003,951.9,1.297935247
LCN003,950.0,1.319742441
LCN003,945.07,1.341676474
LCN003,959.28,1.36322546
LCN003,976.53,1.384902
LCN003,974.25,1.406997919
LCN003,990.17,1.429071903
LCN003,1007.03,1.45077467
LCN003,1011.39,1.472521782
LCN003,1020.48,1.494190216
LCN003,1042.46,1.515902519
LCN003,1042.84,1.537478685
LCN003,1047.2,1.559455395
LCN003,1070.69,1.580723524
LCN003,1082.82,1.603123665
LCN003,1081.68,1.624672174
LCN003,1107.83,1.647679567
LCN003,1128.86,1.67045927
LCN003,1141.93,1.69329834
LCN003,1162.4,1.716212749
LCN003,1167.32,1.738898277
LCN003,1181.15,1.761845112
LCN003,1205.78,1.785004616
LCN003,1212.04,1.807840347
LCN003,1213.74,1.829202414
LCN003,1220.75,1.850672722
LCN003,1218.29,1.872866154
LCN003,1232.69,1.896148443
LCN003,1253.72,1.918934107
LCN003,1250.69,1.940880537
LCN003,1266.79,1.963824272
LCN003,1288.01,1.986831188
LCN003,1290.29,2.009489059
LCN003,1310.75,2.032721758
LCN003,1311.32,2.055298567
LCN003,1329.7,2.079392433
LCN003,1348.45,2.102885723
LCN003,1345.8,2.12547493
LCN003,1359.06,2.147734404
LCN003,1363.99,2.17086792
LCN003,1360.39,2.193142176
LCN003,1381.8,2.216400623
LCN003,1380.47,2.238928556
LCN003,1380.09,2.261365891
LCN003,1401.32,2.284651995
LCN003,1402.26,2.307949305
LCN003,1418.18,2.330714226
LCN003,1424.43,2.353239298
LCN003,1421.02,2.376358986
LCN003,1437.69,2.399353027
LCN003,1446.22,2.423591852
LCN003,1454.18,2.446013927
LCN003,1456.83,2.468197823
LCN003,1454.93,2.491573095
LCN003,1470.47,2.514581442
LCN003,1468.39,2.537212372
LCN003,1465.92,2.560209036
LCN003,1486.95,2.582564354
LCN003,1482.03,2.604819059
LCN003,1478.62,2.62752676
LCN003,1488.85,2.649485826
LCN003,1487.71,2.671744823
LCN003,1488.09,2.694056034
LCN003,1499.08,2.716232538
LCN003,1495.48,2.739207745
LCN003,1499.27,2.762001991
LCN003,1516.32,2.784870148
LCN003,1507.04,2.807348728
LCN003,1512.15,2.829231977
LCN003,1517.08,2.850512505
LCN003,1508.93,2.872150183
LCN003,1509.31,2.894343615
LCN003,1521.63,2.916315794
LCN003,1515.75,2.938769817
LCN003,1513.48,2.960784912
