Port,Value,Time Stamp
PTN003,2763.18,1.077533007
PTN003,1930.91,1.102461815
PTN003,1377.41,1.124022722
PTN003,1063.52,1.145615339
PTN003,901.84,1.167162895
PTN003,809.38,1.188435793
PTN003,758.35,1.210363865
PTN003,740.29,1.232597589
PTN003,730.81,1.254484653
PTN003,722.1,1.276096344
PTN003,726.01,1.297935247
PTN003,729.42,1.319742441
PTN003,733.59,1.341676474
PTN003,741.3,1.36322546
PTN003,751.15,1.384902
PTN003,756.2,1.406997919
PTN003,768.71,1.429071903
PTN003,780.07,1.45077467
PTN003,784.87,1.472521782
PTN003,791.69,1.494190216
PTN003,803.57,1.515902519
PTN003,813.29,1.537478685
PTN003,819.48,1.559455395
PTN003,832.37,1.580723524
PTN003,839.82,1.603123665
PTN003,844.24,1.624672174
PTN003,857.0,1.647679567
PTN003,879.23,1.67045927
PTN003,887.82,1.69329834
PTN003,899.31,1.716212749
PTN003,907.4,1.738898277
PTN003,916.24,1.761845112
PTN003,932.79,1.785004616
PTN003,941.37,1.807840347
PTN003,937.71,1.829202414
PTN003,941.75,1.850672722
PTN003,945.04,1.872866154
PTN003,953.88,1.896148443
PTN003,968.91,1.918934107
PTN003,969.04,1.940880537
PTN003,976.36,1.963824272
PTN003,991.14,1.986831188
PTN003,995.94,2.009489059
PTN003,1004.91,2.032721758
PTN003,1009.46,2.055298567
PTN003,1021.46,2.079392433
PTN003,1033.2,2.102885723
PTN003,1036.99,2.12547493
PTN003,1037.88,2.147734404
PTN003,1040.28,2.17086792
PTN003,1048.36,2.193142176
PTN003,1057.08,2.216400623
PTN003,1059.73,2.238928556
PTN003,1058.85,2.261365891
PTN003,1068.7,2.284651995
PTN003,1073.12,2.307949305
PTN003,1082.34,2.330714226
PTN003,1084.87,2.353239298
PTN003,1086.0,2.376358986
PTN003,1098.38,2.399353027
PTN003,1105.58,2.423591852
PTN003,1108.23,2.446013927
PTN003,1108.87,2.468197823
PTN003,1108.99,2.491573095
PTN003,1117.83,2.514581442
PTN003,1116.7,2.537212372
PTN003,1118.46,2.560209036
PTN003,1129.58,2.582564354
PTN003,1127.69,2.604819059
PTN003,1123.64,2.62752676
PTN003,1130.97,2.649485826
PTN003,1130.21,2.671744823
PTN003,1131.85,2.694056034
PTN003,1135.26,2.716232538
PTN003,1136.91,2.739207745
PTN003,1137.29,2.762001991
PTN003,1148.78,2.784870148
PTN003,1143.35,2.807348728
PTN003,1146.63,2.829231977
PTN003,1144.36,2.850512505
PTN003,1139.69,2.872150183
PTN003,1143.6,2.894343615
PTN003,1149.16,2.916315794
PTN003,1146.89,2.938769817
PTN003,1146.25,2.960784912
PTN003,1154.72,2.983213663
PTN003,1155.98,3.006028652
PTN003,1156.99,3.028515816
PTN003,1163.56,3.050851583
PTN003,1162.3,3.073266029
PTN003,1167.22,3.096016645
PTN003,1174.67,3.118997097
PTN003,1166.97,3.141062737
PTN003,1172.4,3.163401604
PTN003,1174.8,3.185256958
PTN003,1169.62,3.207152843
PTN003,1176.06,3.229776382
PTN003,1178.46,3.251714706
PTN003,1177.96,3.273896217
PTN003,1180.11,3.295846462
PTN003,1182.63,3.317818165
PTN003,1178.46,3.34010005
PTN003,1182.38,3.362287283
PTN003,1188.06,3.384648561
PTN003,1185.41,3.406930685
PTN003,1186.04,3.42882514
PTN003,1187.43,3.450734615
PTN003,1186.8,3.472842932
PTN003,1187.81,3.494956493
PTN003,1192.36,3.516966581
PTN003,1191.85,3.539493561
PTN003,1193.75,3.562002897
PTN003,1202.34,3.584901094
PTN003,1202.34,3.607641697
PTN003,1203.73,3.629992008
PTN003,1208.78,3.652538776
PTN003,1204.74,3.674977541
PTN003,1210.93,3.697598457
PTN003,1217.49,3.720364571
PTN003,1207.77,3.742585659
PTN003,1213.83,3.765157223
PTN003,1222.93,3.788954496
PTN003,1218.76,3.811724186
PTN003,1223.18,3.834582806
PTN003,1219.01,3.856692553
PTN003,1218.76,3.878863573
PTN003,1222.67,3.90107131
PTN003,1221.41,3.923497915
PTN003,1223.05,3.945826292
PTN003,1225.58,3.967938662
PTN003,1224.82,3.990455151
PTN003,1227.98,4.012879372
PTN003,1229.49,4.035267353
PTN003,1225.7,4.057705402
PTN003,1232.02,4.080059052
PTN003,1236.06,4.102561951
PTN003,1232.15,4.12514925
PTN003,1235.94,4.147652149
PTN003,1234.17,4.16984725
PTN003,1232.9,4.192035675
PTN003,1235.05,4.214053631
PTN003,1235.94,4.236331224
PTN003,1232.52,4.258422136
PTN003,1239.98,4.280817986
PTN003,1242.88,4.303735018
PTN003,1241.75,4.325964212
PTN003,1242.88,4.348356009
PTN003,1243.14,4.370289564
PTN003,1236.06,4.391625404
PTN003,1234.8,4.413258553
PTN003,1239.35,4.435362101
PTN003,1237.7,4.457613468
PTN003,1241.49,4.480019093
PTN003,1245.91,4.502439499
PTN003,1242.5,4.525049448
PTN003,1249.07,4.548170328
PTN003,1249.07,4.570363522
PTN003,1247.18,4.593033552
PTN003,1254.0,4.616247654
PTN003,1257.53,4.639015675
PTN003,1251.98,4.660996675
PTN003,1255.51,4.683638334
PTN003,1256.65,4.706705093
PTN003,1260.06,4.729076385
PTN003,1260.31,4.75138855
PTN003,1257.41,4.773884773
PTN003,1260.82,4.79668808
PTN003,1268.15,4.819492102
PTN003,1261.58,4.842131853
PTN003,1262.97,4.864830732
PTN003,1263.22,4.887310028
PTN003,1263.6,4.910432339
PTN003,1271.43,4.932953119
PTN003,1267.01,4.955281496
PTN003,1269.41,4.977778673
PTN003,1273.7,5.000409365
PTN003,1269.03,5.022710562
PTN003,1268.52,5.044756889
PTN003,1267.77,5.066631317
PTN003,1266.0,5.088759184
PTN003,1268.65,5.111467838
PTN003,1272.69,5.134599924
PTN003,1269.53,5.156864643
PTN003,1271.68,5.179095507
PTN003,1275.6,5.201719522
PTN003,1271.68,5.22383976
PTN003,1272.19,5.246084452
PTN003,1273.83,5.268105745
